epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,2878.81,1.1133,0.52435,0.00233,0.84619,0.79832,0.86363,0.37842,2.07728,0.96524,0.00594,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773
75,2917.24,1.04912,0.47327,0.00219,0.91124,0.76471,0.87028,0.36319,2.11793,0.93467,0.00603,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
76,2955.78,1.08122,0.49729,0.0022,0.86938,0.83901,0.85645,0.37107,2.11791,0.8317,0.00603,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
77,2994.18,1.10811,0.50147,0.0023,0.86493,0.78151,0.85705,0.3778,2.04629,0.89217,0.00576,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
78,3032.76,1.05134,0.48431,0.00212,0.94332,0.7479,0.87067,0.36826,2.08522,0.84885,0.00599,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377
79,3071.18,1.10515,0.48644,0.0022,0.89537,0.791,0.89001,0.39656,2.0285,0.88155,0.00575,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
80,3109.97,1.07437,0.45402,0.00213,0.89226,0.80672,0.89833,0.41002,1.99582,0.84316,0.00565,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179
81,3148.96,1.02971,0.43562,0.00214,0.90361,0.79832,0.88136,0.40534,2.03742,0.81509,0.00584,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
82,3187.18,1.06719,0.44643,0.00214,0.87286,0.82353,0.87548,0.39488,2.03944,0.89156,0.00578,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981
83,3225.64,1.03672,0.4508,0.00204,0.88323,0.82632,0.87816,0.37237,2.06567,0.85826,0.00577,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
84,3264.01,1.03119,0.4388,0.00202,0.91051,0.85504,0.897,0.38272,2.0472,0.84486,0.00578,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783
85,3302,1.02501,0.44729,0.00202,0.91923,0.78151,0.8899,0.37558,2.05415,0.83152,0.00581,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
86,3340.9,0.99256,0.39509,0.00199,0.89084,0.82297,0.89031,0.37017,2.04042,0.84865,0.00576,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
87,3379.21,1.01179,0.42363,0.00199,0.87484,0.82232,0.89077,0.37956,2.05238,0.8506,0.00584,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
88,3418.51,1.03049,0.44599,0.00206,0.90689,0.81849,0.89396,0.40372,2.01805,0.78171,0.00575,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387
89,3457.21,1.01589,0.45492,0.0021,0.85922,0.82061,0.87436,0.39022,2.0299,0.85009,0.00578,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
