epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,454.605,1.47946,0.62385,0.00316,0.88036,0.81513,0.88193,0.37293,2.17878,0.94395,0.00601,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
52,463.529,1.54195,0.61408,0.00327,0.84387,0.81755,0.84232,0.34434,2.23825,0.86344,0.00637,0.00478824,0.00159608,0.00478824,0.00159608,0.00478824,0.00159608,0.00478824,0.00159608
53,472.294,1.50186,0.63834,0.00319,0.88913,0.84034,0.89797,0.36808,2.17269,0.84173,0.00604,0.00476448,0.00158816,0.00476448,0.00158816,0.00476448,0.00158816,0.00476448,0.00158816
54,481.169,1.4692,0.61824,0.00312,0.89502,0.78992,0.87662,0.35726,2.20466,0.81786,0.00608,0.00474072,0.00158024,0.00474072,0.00158024,0.00474072,0.00158024,0.00474072,0.00158024
55,490.014,1.46249,0.60779,0.00311,0.87213,0.82353,0.87839,0.36806,2.19309,0.89665,0.00613,0.00471696,0.00157232,0.00471696,0.00157232,0.00471696,0.00157232,0.00471696,0.00157232
56,498.801,1.48644,0.60004,0.00312,0.80384,0.82353,0.86756,0.36435,2.18048,0.84722,0.00606,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
57,507.471,1.51168,0.62513,0.00313,0.83741,0.77311,0.85402,0.36723,2.17032,0.98031,0.00601,0.00466944,0.00155648,0.00466944,0.00155648,0.00466944,0.00155648,0.00466944,0.00155648
58,516.354,1.46969,0.6504,0.00307,0.83951,0.7479,0.81732,0.35569,2.1705,0.9744,0.00607,0.00464568,0.00154856,0.00464568,0.00154856,0.00464568,0.00154856,0.00464568,0.00154856
59,525.04,1.45379,0.57808,0.003,0.85108,0.78151,0.84052,0.34152,2.21694,0.92674,0.00626,0.00462192,0.00154064,0.00462192,0.00154064,0.00462192,0.00154064,0.00462192,0.00154064
60,533.726,1.4992,0.58189,0.00311,0.85596,0.76471,0.85652,0.347,2.22868,0.92828,0.00628,0.00459816,0.00153272,0.00459816,0.00153272,0.00459816,0.00153272,0.00459816,0.00153272
61,542.462,1.41385,0.5761,0.00296,0.82929,0.81649,0.88212,0.36981,2.2275,0.91085,0.00629,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
62,551.493,1.40677,0.54805,0.00292,0.91676,0.74037,0.87739,0.36252,2.15038,0.90547,0.006,0.00455064,0.00151688,0.00455064,0.00151688,0.00455064,0.00151688,0.00455064,0.00151688
63,560.216,1.43477,0.58491,0.00298,0.86663,0.76471,0.86524,0.34951,2.16167,0.99535,0.0061,0.00452688,0.00150896,0.00452688,0.00150896,0.00452688,0.00150896,0.00452688,0.00150896
64,569.068,1.40404,0.5813,0.00298,0.84975,0.76046,0.85869,0.36109,2.17409,0.97704,0.00618,0.00450312,0.00150104,0.00450312,0.00150104,0.00450312,0.00150104,0.00450312,0.00150104
