p_low,p_high,w_tier5,w_tier3,tau_vote,f1,recall,precision,accuracy,tp,tn,fp,fn,esc_ratio
0.001,0.4,0.0,1.0,0.6000000000000001,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.6100000000000001,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.62,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.63,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.64,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.65,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.66,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.67,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.6799999999999999,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.69,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.7,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.71,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.72,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.73,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.74,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.0,1.0,0.75,0.8450704225352113,0.9090909090909091,0.7894736842105263,0.8571428571428571,30,36,8,3,0.35064935064935066
0.001,0.4,0.1,0.9,0.2,0.8571428571428571,1.0,0.75,0.8571428571428571,33,33,11,0,0.35064935064935066
0.001,0.4,0.1,0.9,0.21000000000000002,0.8571428571428571,1.0,0.75,0.8571428571428571,33,33,11,0,0.35064935064935066
0.001,0.4,0.1,0.9,0.22,0.8571428571428571,1.0,0.75,0.8571428571428571,33,33,11,0,0.35064935064935066
0.001,0.4,0.1,0.9,0.23,0.8571428571428571,1.0,0.75,0.8571428571428571,33,33,11,0,0.35064935064935066
0.001,0.4,0.1,0.9,0.24000000000000002,0.8421052631578948,0.9696969696969697,0.7441860465116279,0.8441558441558441,32,33,11,1,0.35064935064935066
0.001,0.4,0.1,0.9,0.25,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.1,0.9,0.26,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.1,0.9,0.27,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.1,0.9,0.28,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.1,0.9,0.29000000000000004,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.1,0.9,0.30000000000000004,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.1,0.9,0.31,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.1,0.9,0.32,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.1,0.9,0.33,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.1,0.9,0.34,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.1,0.9,0.35,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.1,0.9,0.36,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
